<<<<<<< HEAD
,1,12:30:04,10.00,2019-04-01;
,1,8:49:14,60.00,2019-04-15;
,3,9:01:23,0.00,2019-04-30;
,0,14:30:39,100.00,2019-05-08;
,3,11:11:10,0.00,2019-05-22;
,3,12:51:03,0.00,2019-05-28;
,2,12:24:21,21.00,2019-05-30;
,1,12:55:30,40.00,2019-06-14;
,3,13:10:04,0.00,2019-06-19;
,1,17:05:39,57.00,2019-06-22;
,2,9:53:11,66.00,2019-07-03;
,3,11:23:00,0.00,2019-07-09;
,0,14:22:45,10.00,2019-07-11;
,3,15:33:21,0.00,2019-07-23;
,0,12:35:45,17.00,2019-08-10;
,2,17:45:07,21.00,2019-08-19;
,0,10:11:54,34.00,2019-08-31;
,3,12:19:40,0.00,2019-09-09;
,0,10:47:30,31.00,2019-09-13;
,0,15:19:00,32.00,2019-09-23;
,0,14:11:54,44.00,2019-10-07;
,2,15:29:29,59.00,2019-10-12;
,2,15:48:20,23.00,2019-10-19;
,3,10:40:27,0.00,2019-10-31;
,3,9:20:40,0.00,2019-11-03;
,0,17:47:11,41.00,2019-11-17;
,1,12:29:01,33.00,2019-11-30;
,3,16:47:00,0.00,2019-12-06;
,1,13:59:59,72.00,2019-12-17;
<<<<<<< HEAD
,3,13:39:10,20.00,2019-12-21;
,3,11:11:50,44.00,2019-12-20;
=======
,1,12:30:04,10.00,2019-04-01;
,1,8:49:14,60.00,2019-04-15;
,3,9:01:23,0.00,2019-04-30;
,0,14:30:39,100.00,2019-05-08;
,3,11:11:10,0.00,2019-05-22;
,3,12:51:03,0.00,2019-05-28;
,2,12:24:21,21.00,2019-05-30;
,1,12:55:30,40.00,2019-06-14;
,3,13:10:04,0.00,2019-06-19;
,1,17:05:39,57.00,2019-06-22;
,2,9:53:11,66.00,2019-07-03;
,3,11:23:00,0.00,2019-07-09;
,0,14:22:45,10.00,2019-07-11;
,3,15:33:21,0.00,2019-07-23;
,0,12:35:45,17.00,2019-08-10;
,2,17:45:07,21.00,2019-08-19;
,0,10:11:54,34.00,2019-08-31;
,3,12:19:40,0.00,2019-09-09;
,0,10:47:30,31.00,2019-09-13;
,0,15:19:00,32.00,2019-09-23;
,0,14:11:54,44.00,2019-10-07;
,2,15:29:29,59.00,2019-10-12;
,2,15:48:20,23.00,2019-10-19;
,3,10:40:27,0.00,2019-10-31;
,3,9:20:40,0.00,2019-11-03;
,0,17:47:11,41.00,2019-11-17;
,1,12:29:01,33.00,2019-11-30;
,3,16:47:00,0.00,2019-12-06;
,1,13:59:59,72.00,2019-12-17;
,3,13:39:10,0.00,2019-12-21;
,3,11:11:50,0.00,2019-12-20;
>>>>>>> origin/Brenda/cargaDatos
=======
,3,13:39:10,0.00,2019-12-21;
,3,11:11:50,0.00,2019-12-20;
>>>>>>> 7aba7f222e28ff13f57a75f93da9721b0e9afaef
